Institute,Course,GOPEN,GSC,GSEBC,LOPEN,LST,LOBC,EWS,GST,GOBC,LSEBC,LSC,GNTA,GNTB,GNTC,DEFR-OBC,PWDR-OBC,LNTA,LNTC,LNTD,PWD-O,DEF-O,LNTB,GNTD,MI,ORP,PWDR-SC,DEFR-SC,DEFR-SEBC,PWDR-SEBC,DEFR-ST,DEFR-NTB,DEFR-NTA
"6206 Pune District Education Associations College of Engineering, Pune (Un-Aided)",Mechanical Engineering,67.59%,58.92%,,72.64%,,,,,66.92%,,,,,,,,,,,,,,,,,,,,,,,
"6207 Dr. D. Y. Patil Unitech Societys Dr. D. Y. Patil Institute of Technology, Pimpri, Pune (Un-Aided)",Civil Engineering,83.79%,79.11%,79.63%,83.05%,60.41%,80.63%,74.18%,61.20%,80.68%,80.63%,76.37%,83.53%,78.19%,79.89%,,,76.89%,,83.32%,,,,,,,,,,,,,
"6207 Dr. D. Y. Patil Unitech Societys Dr. D. Y. Patil Institute of Technology, Pimpri, Pune (Un-Aided)",Computer Engineering,92.00%,88.34%,91.67%,93.29%,,91.29%,85.54%,68.29%,91.71%,,,88.22%,89.43%,,77.56%,,,90.63%,,,,,90.65%,,,,,,73.21%,,,
"6207 Dr. D. Y. Patil Unitech Societys Dr. D. Y. Patil Institute of Technology, Pimpri, Pune (Un-Aided)",Information Technology,91.43%,,91.19%,91.38%,65.75%,,84.38%,,91.25%,,88.24%,,,,,,,,,,,,,,,,,,,,,
"6207 Dr. D. Y. Patil Unitech Societys Dr. D. Y. Patil Institute of Technology, Pimpri, Pune (Un-Aided)",Electrical Engineering,87.22%,83.78%,86.33%,86.89%,,83.58%,85.28%,80.89%,85.78%,86.50%,83.11%,82.28%,,85.44%,,,,,,,,69.06%,82.11%,,,,,,,,,
"6207 Dr. D. Y. Patil Unitech Societys Dr. D. Y. Patil Institute of Technology, Pimpri, Pune (Un-Aided)",Electronics and Telecommunication Engg,86.67%,82.08%,86.33%,88.06%,,86.53%,78.94%,,85.65%,85.83%,80.59%,82.23%,83.54%,85.71%,74.35%,,,79.49%,,68.12%,81.76%,,83.00%,,,,,,,,,
"6207 Dr. D. Y. Patil Unitech Societys Dr. D. Y. Patil Institute of Technology, Pimpri, Pune (Un-Aided)",Instrumentation Engineering,81.71%,73.54%,81.71%,86.46%,,,71.76%,,80.56%,,,,,,,,60.00%,76.29%,,,,,,,,,,,,,,
"6207 Dr. D. Y. Patil Unitech Societys Dr. D. Y. Patil Institute of Technology, Pimpri, Pune (Un-Aided)",Mechanical Engineering,83.95%,78.67%,83.59%,78.26%,,74.05%,68.62%,62.40%,82.41%,70.92%,67.81%,80.77%,77.13%,75.28%,,,78.77%,,68.67%,,,,,,,,,,,,,
"6207 Dr. D. Y. Patil Unitech Societys Dr. D. Y. Patil Institute of Technology, Pimpri, Pune (Un-Aided)",Automation and Robotics,85.71%,80.11%,80.17%,82.30%,,81.53%,77.71%,,83.56%,81.49%,81.28%,68.50%,,79.37%,,,,,,,,,,,,,,,,,,
"6207 Dr. D. Y. Patil Unitech Societys Dr. D. Y. Patil Institute of Technology, Pimpri, Pune (Un-Aided)",Artificial Intelligence and Data Science,90.34%,85.80%,90.00%,90.34%,73.18%,90.23%,84.50%,,90.23%,,84.23%,85.37%,88.29%,88.88%,75.13%,,,,,,,,,,,,,,,,,
"6214 K. E. Societys Rajarambapu Institute of Technology, Walwa, Sangli (Un-Aided Autonomous)",Civil Engineering,84.05%,75.05%,83.95%,86.37%,,,81.32%,,80.16%,,81.74%,,,,,,71.79%,80.68%,,,,,,,,,,,,,,
"6214 K. E. Societys Rajarambapu Institute of Technology, Walwa, Sangli (Un-Aided Autonomous)",Computer Engineering,90.91%,88.69%,90.29%,92.40%,,90.91%,88.29%,,89.71%,,,,87.60%,90.68%,,,,,,,,,,,,,,,,,,
"6214 K. E. Societys Rajarambapu Institute of Technology, Walwa, Sangli (Un-Aided Autonomous)",Electrical Engineering,88.94%,86.50%,,89.67%,,89.17%,87.94%,,86.78%,88.67%,86.83%,79.78%,,88.17%,,,,,,,,,,,,,,,,,,
"6214 K. E. Societys Rajarambapu Institute of Technology, Walwa, Sangli (Un-Aided Autonomous)",Electronics and Telecommunication Engg,87.77%,84.17%,87.43%,88.88%,,,83.12%,,84.63%,,,,79.94%,,,,,86.00%,,,,,,,,,,,,,,
"6214 K. E. Societys Rajarambapu Institute of Technology, Walwa, Sangli (Un-Aided Autonomous)",Computer Science and Information Technology,90.23%,,,90.17%,,89.54%,87.09%,,,90.00%,86.59%,,,,,,,,,,,,,,,,,,,,,
"6214 K. E. Societys Rajarambapu Institute of Technology, Walwa, Sangli (Un-Aided Autonomous)",Mechanical Engineering,83.85%,79.90%,81.79%,83.44%,,70.56%,72.56%,,76.92%,,79.44%,80.82%,,79.18%,,,,,,,,,,,,,,,,,,
"6214 K. E. Societys Rajarambapu Institute of Technology, Walwa, Sangli (Un-Aided Autonomous)",Mechatronics Engineering,82.33%,70.22%,81.93%,85.41%,,,68.97%,,77.82%,,,,,,,,,,,,,,,,,,,,,,,
"6214 K. E. Societys Rajarambapu Institute of Technology, Walwa, Sangli (Un-Aided Autonomous)",Computer Science and Engineering(Artificial Intelligence and Machine Learning),89.37%,85.88%,89.09%,88.63%,,87.89%,86.46%,,,,,,,,,,,,,,,,,,,,,,,,,
"6214 K. E. Societys Rajarambapu Institute of Technology, Walwa, Sangli (Un-Aided Autonomous)",Robotics and Automation,85.83%,79.39%,,87.37%,,82.00%,80.97%,,81.77%,86.17%,,,,,,,,,,,,,,,,,,,,,,
"6217 Shri. Balasaheb Mane Shikshan Prasarak Mandals, Ashokrao Mane Group of Institutions (Un-Aided)",Civil Engineering,67.11%,47.16%,,68.89%,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"6217 Shri. Balasaheb Mane Shikshan Prasarak Mandals, Ashokrao Mane Group of Institutions (Un-Aided)",Computer Science and Engineering,80.00%,71.66%,79.54%,81.89%,,78.51%,68.57%,,76.46%,81.88%,72.91%,70.40%,73.09%,75.14%,,,,,,,,,,,,,,,,,,
"6217 Shri. Balasaheb Mane Shikshan Prasarak Mandals, Ashokrao Mane Group of Institutions (Un-Aided)",Artificial Intelligence (AI) and Data Science,76.80%,68.23%,74.97%,78.63%,,72.17%,,,75.25%,77.77%,68.86%,,,,,,,70.51%,,,,,,,,,,,,,,
"6217 Shri. Balasaheb Mane Shikshan Prasarak Mandals, Ashokrao Mane Group of Institutions (Un-Aided)",Electrical Engineering,79.11%,72.67%,68.97%,80.72%,,69.47%,,,66.29%,77.50%,77.33%,74.39%,,,,,,,,,,59.17%,,,,,,,,,,
"6217 Shri. Balasaheb Mane Shikshan Prasarak Mandals, Ashokrao Mane Group of Institutions (Un-Aided)",Electronics and Telecommunication Engg,76.17%,67.35%,73.09%,81.29%,,73.00%,,,65.12%,79.29%,,,61.41%,58.80%,,,68.00%,,,,,,,,,,,,,,,
"6217 Shri. Balasaheb Mane Shikshan Prasarak Mandals, Ashokrao Mane Group of Institutions (Un-Aided)",Mechanical Engineering,75.54%,50.63%,,78.92%,,,68.29%,,,,,,,,,,,,,,,,,,,,,,,,,
"6217 Shri. Balasaheb Mane Shikshan Prasarak Mandals, Ashokrao Mane Group of Institutions (Un-Aided)",Artificial Intelligence and Machine Learning,78.97%,67.44%,,79.37%,,76.56%,,,74.97%,77.94%,,,,,,,69.39%,70.00%,,,,,,,,,,,,,,
"6219 KSGBSs Bharat- Ratna Indira Gandhi College of Engineering, Kegaon, Solapur (Un-Aided)",Civil Engineering,63.21%,55.33%,,58.70%,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"6219 KSGBSs Bharat- Ratna Indira Gandhi College of Engineering, Kegaon, Solapur (Un-Aided)",Computer Science and Engineering,72.86%,62.61%,72.40%,73.25%,,65.43%,70.80%,,67.49%,70.80%,63.89%,68.91%,,69.89%,,,61.38%,,,,,70.51%,,,,,,,,,,
"6219 KSGBSs Bharat- Ratna Indira Gandhi College of Engineering, Kegaon, Solapur (Un-Aided)",Electrical Engineering,72.39%,62.67%,,63.09%,,60.11%,63.94%,,65.24%,,,57.50%,,,,,,62.61%,,,,,,,,,,,,,,
"6219 KSGBSs Bharat- Ratna Indira Gandhi College of Engineering, Kegaon, Solapur (Un-Aided)",Electronics and Telecommunication Engg,74.18%,,,76.71%,,73.33%,66.73%,,63.59%,,67.94%,,,,,,,,,,,,,,,,,,,,,
"6219 KSGBSs Bharat- Ratna Indira Gandhi College of Engineering, Kegaon, Solapur (Un-Aided)",Bio Medical Engineering,58.88%,,,73.75%,,,,,,64.41%,,,,,,,,,,,,,,,,,,,,,,
"6219 KSGBSs Bharat- Ratna Indira Gandhi College of Engineering, Kegaon, Solapur (Un-Aided)",Mechanical Engineering,67.76%,60.00%,66.31%,59.44%,,,,,60.87%,,,,,,,,,,,,,,,,,,,,,,,
"6220 Shri Vithal Education and Research Institutes College of Engineering, Pandharpur (Un-Aided)",Civil Engineering,83.42%,70.72%,69.68%,86.32%,,84.84%,71.53%,,68.53%,65.78%,63.74%,82.11%,,82.26%,,,,,,,,,,,,,,,,,,
"6220 Shri Vithal Education and Research Institutes College of Engineering, Pandharpur (Un-Aided)",Computer Science and Engineering,87.44%,82.80%,87.37%,89.75%,,85.09%,83.31%,,85.43%,,,83.06%,,,,69.71%,,,,,,,82.00%,,,,,,,,,
"6220 Shri Vithal Education and Research Institutes College of Engineering, Pandharpur (Un-Aided)",Electrical Engineering,84.44%,,,82.28%,,,83.17%,,80.22%,79.67%,78.89%,,,,,,63.78%,,,,,,,,,,,,,,,
"6220 Shri Vithal Education and Research Institutes College of Engineering, Pandharpur (Un-Aided)",Electronics and Telecommunication Engg,83.94%,77.29%,81.53%,87.24%,,83.88%,79.77%,,80.68%,,68.80%,79.14%,,,,,,78.59%,,,,,,,,,,,,,,
"6220 Shri Vithal Education and Research Institutes College of Engineering, Pandharpur (Un-Aided)",Mechanical Engineering,82.62%,72.15%,71.64%,82.77%,,69.38%,79.13%,,70.21%,72.67%,69.59%,,65.69%,,,,73.13%,82.06%,,,,,,,,,,,,,,
"6222 Dattajirao Kadam Technical Education Societys Textile & Engineering Institute, Ichalkaranji. (Un-Aided Autonomous)",Civil Engineering,78.40%,67.79%,68.63%,83.68%,73.00%,66.11%,87.00%,,66.58%,82.89%,68.05%,,69.49%,78.32%,,,,,,,,,,,,,,,,,,
"6222 Dattajirao Kadam Technical Education Societys Textile & Engineering Institute, Ichalkaranji. (Un-Aided Autonomous)",Computer Science and Engineering,91.00%,85.13%,88.80%,94.06%,,89.94%,88.63%,,89.89%,,,85.89%,,,72.40%,,,85.66%,,,,,,,,,,,,,,
"6222 Dattajirao Kadam Technical Education Societys Textile & Engineering Institute, Ichalkaranji. (Un-Aided Autonomous)",Artificial Intelligence (AI) and Data Science,88.11%,,,88.97%,,87.56%,87.54%,,,86.63%,82.91%,,,,,,,,,,,,,,,,,,,,,
"6222 Dattajirao Kadam Technical Education Societys Textile & Engineering Institute, Ichalkaranji. (Un-Aided Autonomous)",Electrical Engineering,86.72%,82.00%,85.78%,86.17%,,,86.17%,,84.67%,,85.61%,,83.89%,85.89%,,,,,,,,,,,,,,,,,,
"6222 Dattajirao Kadam Technical Education Societys Textile & Engineering Institute, Ichalkaranji. (Un-Aided Autonomous)",Electronics and Telecommunication Engg,85.88%,80.94%,,87.59%,,84.91%,84.63%,,83.18%,87.29%,,,,85.18%,,,79.54%,,,,,,,,,,,,,,,
"6222 Dattajirao Kadam Technical Education Societys Textile & Engineering Institute, Ichalkaranji. (Un-Aided Autonomous)",Fashion Technology,90.52%,,,,,,,,89.61%,89.70%,78.80%,,,,,,,,,,,,,,,,,,,,,
"6222 Dattajirao Kadam Technical Education Societys Textile & Engineering Institute, Ichalkaranji. (Un-Aided Autonomous)",Mechanical Engineering,82.92%,80.51%,63.33%,80.51%,,75.28%,80.92%,,76.56%,,67.44%,,75.90%,,,,,75.90%,,,,,,,,,,,,,,
"6222 Dattajirao Kadam Technical Education Societys Textile & Engineering Institute, Ichalkaranji. (Un-Aided Autonomous)",Man Made Textile Technology,77.71%,76.50%,65.58%,86.86%,,84.50%,83.59%,,72.71%,,,,,62.00%,,,,,,,,,,,,,77.41%,,,,,
"6222 Dattajirao Kadam Technical Education Societys Textile & Engineering Institute, Ichalkaranji. (Un-Aided Autonomous)",Textile Chemistry,75.70%,62.39%,69.94%,80.69%,,75.64%,81.52%,,70.00%,74.00%,76.33%,,,70.11%,,,,,,,73.27%,66.41%,68.18%,,,,,,,,,
"6222 Dattajirao Kadam Technical Education Societys Textile & Engineering Institute, Ichalkaranji. (Un-Aided Autonomous)",Textile Plant Engineering,58.70%,57.54%,,63.94%,,,72.69%,,,,,,,,,,,,,,,,,,,,,,,,,
"6222 Dattajirao Kadam Technical Education Societys Textile & Engineering Institute, Ichalkaranji. (Un-Aided Autonomous)",Textile Technology,87.40%,81.78%,78.88%,89.20%,,89.00%,89.20%,77.56%,84.76%,,,,,63.82%,,,,,,,,,,,,,,,,,,
"6222 Dattajirao Kadam Technical Education Societys Textile & Engineering Institute, Ichalkaranji. (Un-Aided Autonomous)",Computer Science and Engineering(Artificial Intelligence and Machine Learning),88.17%,84.23%,88.11%,88.17%,,87.50%,85.66%,,87.77%,,,,,,,,84.97%,85.14%,,,,,,,,,,,,,,
"6223 Pradnya Niketan Education Societys Nagesh Karajagi Orchid College of Engineering & Technology, Solapur (Un-Aided)",Civil Engineering,68.32%,63.84%,53.37%,77.32%,,70.53%,65.21%,,66.95%,,69.53%,67.00%,,,,,66.37%,,,,,,,,,,,,,,,
"6223 Pradnya Niketan Education Societys Nagesh Karajagi Orchid College of Engineering & Technology, Solapur (Un-Aided)",Computer Science and Engineering,89.60%,89.09%,86.69%,90.06%,,89.60%,89.31%,,88.06%,,,84.46%,,85.66%,,,,,,,,,,,,,,,,,,
"6223 Pradnya Niketan Education Societys Nagesh Karajagi Orchid College of Engineering & Technology, Solapur (Un-Aided)",Electrical Engineering,84.39%,83.83%,,88.06%,,83.83%,88.56%,,81.44%,86.56%,,,,,,,,81.09%,,,,66.18%,,,,,,,,,,
"6223 Pradnya Niketan Education Societys Nagesh Karajagi Orchid College of Engineering & Technology, Solapur (Un-Aided)",Electronics and Telecommunication Engg,85.06%,79.54%,,85.53%,,,85.47%,,84.59%,79.24%,,,,,,,84.94%,,,,,,,,,,,,,,,
"6223 Pradnya Niketan Education Societys Nagesh Karajagi Orchid College of Engineering & Technology, Solapur (Un-Aided)",Mechanical Engineering,74.26%,66.15%,63.18%,64.87%,,63.59%,62.15%,,67.28%,,,,60.21%,65.13%,,,,,,,,,,,,,,,,,,
"6223 Pradnya Niketan Education Societys Nagesh Karajagi Orchid College of Engineering & Technology, Solapur (Un-Aided)",Artificial Intelligence and Data Science,87.66%,,86.11%,88.06%,,86.00%,84.91%,,85.69%,,86.00%,,,,,,,,,,,,,,,,,,,,,
"6250 D.Y. Patil College of Engineering and Technology, Kolhapur (Un-Aided Autonomous)",Civil Engineering,83.21%,73.00%,82.47%,84.53%,,77.94%,63.00%,,77.77%,80.95%,78.79%,65.37%,79.05%,59.16%,,,,,,,,,,,,,,,,,,
"6250 D.Y. Patil College of Engineering and Technology, Kolhapur (Un-Aided Autonomous)",Computer Science and Engineering,90.00%,84.06%,89.41%,91.77%,,90.59%,82.69%,,88.40%,90.46%,88.91%,85.31%,,89.06%,,,,,71.83%,,,89.43%,,,,,,,,,,
"6250 D.Y. Patil College of Engineering and Technology, Kolhapur (Un-Aided Autonomous)",Electronics and Telecommunication Engg,85.77%,84.35%,85.71%,87.06%,,,83.76%,,82.29%,,,,76.35%,,,,,85.00%,,,,,,,,,,,,,,
"6250 D.Y. Patil College of Engineering and Technology, Kolhapur (Un-Aided Autonomous)",Chemical Engineering,81.37%,,,72.11%,,77.28%,,,77.33%,77.39%,,,,,,,,,,,,,,,,,,,,,,
"6250 D.Y. Patil College of Engineering and Technology, Kolhapur (Un-Aided Autonomous)",Mechanical Engineering,84.29%,78.92%,73.18%,76.12%,,56.63%,74.97%,,75.13%,67.65%,69.90%,,76.10%,68.82%,,,,,,,,,,,,,,,,,,
"6250 D.Y. Patil College of Engineering and Technology, Kolhapur (Un-Aided Autonomous)",Computer Science and Engineering(Artificial Intelligence and Machine Learning),89.03%,83.71%,,89.37%,,88.29%,80.91%,,87.43%,88.63%,,,,87.39%,,,83.94%,,,,,,,,,,,,,,,
"6250 D.Y. Patil College of Engineering and Technology, Kolhapur (Un-Aided Autonomous)",Computer Science and Engineering(Data Science),87.67%,82.51%,86.46%,88.40%,,87.14%,79.83%,,86.46%,,81.14%,84.17%,,,,,,85.49%,,,,,74.97%,,,,,,,,,
"6265 Walchand Institute of Technology, Solapur (Un-Aided Autonomous Religious Minority - Jain)",Civil Engineering,87.79%,,,87.47%,,,,,,,,,,,,,,,,,,,,72.53%,,,,,,,,
"6265 Walchand Institute of Technology, Solapur (Un-Aided Autonomous Religious Minority - Jain)",Computer Science and Engineering,91.89%,,,93.20%,,,,,,,,,,,,,,,,,,,,83.17%,,,,,,,,
"6265 Walchand Institute of Technology, Solapur (Un-Aided Autonomous Religious Minority - Jain)",Information Technology,90.46%,,,91.54%,,,,,,,,,,,,,,,,,,,,81.66%,,,,,,,,
"6265 Walchand Institute of Technology, Solapur (Un-Aided Autonomous Religious Minority - Jain)",Electronics and Telecommunication Engg,87.76%,,,89.00%,,,,,,,,,,,,,,,,,,,,68.65%,,,,,,,,
"6265 Walchand Institute of Technology, Solapur (Un-Aided Autonomous Religious Minority - Jain)",Mechanical & Automation Engineering,88.51%,,,,,,,,,,,,,,,,,,,,,,,65.04%,,,,,,,,
"6265 Walchand Institute of Technology, Solapur (Un-Aided Autonomous Religious Minority - Jain)",Electronics and Computer Engineering,87.18%,,,,,,,,,,,,,,,,,,,,,,,69.60%,,,,,,,,
"6267 Kolhapur Institute of Technologys College of Engineering(Autonomous), Kolhapur (Un-Aided Autonomous)",Civil Engineering,88.79%,84.84%,86.21%,91.00%,,88.74%,80.57%,,84.58%,88.00%,71.11%,73.79%,85.21%,85.84%,,,,,68.00%,,,,,,,,,,,,,
"6267 Kolhapur Institute of Technologys College of Engineering(Autonomous), Kolhapur (Un-Aided Autonomous)",Computer Science and Engineering,92.51%,87.60%,92.29%,93.65%,,92.29%,91.06%,,91.20%,,88.17%,,,89.59%,,,,,87.89%,,,87.37%,,,,,,,,,,
"6267 Kolhapur Institute of Technologys College of Engineering(Autonomous), Kolhapur (Un-Aided Autonomous)",Computer Science and Business Systems,88.51%,82.00%,87.54%,88.00%,,86.40%,84.86%,,86.94%,,76.94%,,,,,,87.35%,79.31%,,,,,81.71%,,,,,82.06%,,,,
"6267 Kolhapur Institute of Technologys College of Engineering(Autonomous), Kolhapur (Un-Aided Autonomous)",Electrical Engineering,90.39%,88.72%,,91.61%,,87.83%,94.50%,,88.22%,89.50%,,83.72%,,88.61%,,,,,,,,,,,,,,,,,,
"6267 Kolhapur Institute of Technologys College of Engineering(Autonomous), Kolhapur (Un-Aided Autonomous)",Electronics and Telecommunication Engg,90.11%,88.35%,89.71%,91.29%,,86.71%,85.00%,,86.59%,,,,73.29%,87.12%,,,,,,,,,,,,,,,,,,
"6267 Kolhapur Institute of Technologys College of Engineering(Autonomous), Kolhapur (Un-Aided Autonomous)",Mechanical Engineering,86.39%,82.82%,83.12%,85.23%,,74.97%,82.97%,,80.26%,81.35%,79.76%,81.54%,74.97%,74.05%,,,,81.90%,,,76.36%,,,,,,,,,,,
"6267 Kolhapur Institute of Technologys College of Engineering(Autonomous), Kolhapur (Un-Aided Autonomous)",Computer Science and Engineering(Artificial Intelligence and Machine Learning),91.47%,87.31%,90.34%,92.40%,,90.86%,87.20%,,91.03%,,,,,,,,88.63%,87.09%,,,,,,,,,,,,,,
"6267 Kolhapur Institute of Technologys College of Engineering(Autonomous), Kolhapur (Un-Aided Autonomous)",Computer Science and Engineering(Data Science),90.23%,,,90.20%,,88.86%,84.86%,,,90.17%,84.29%,,,,,,,,,,,,,,,,,,,,,
"6267 Kolhapur Institute of Technologys College of Engineering(Autonomous), Kolhapur (Un-Aided Autonomous)",Civil and Environmental Engineering,73.47%,,,80.89%,,75.53%,85.79%,,68.79%,,77.09%,,,,,,,,,,,70.16%,,,,,,,,,,
"6268 Tatyasaheb Kore Institute of Engineering and Technology, Warananagar (Un-Aided Autonomous)",Civil Engineering,75.31%,57.89%,68.05%,72.16%,,,77.89%,,60.11%,58.63%,,60.82%,63.00%,60.95%,,,,61.63%,,,,,,,,,,,,,,
"6268 Tatyasaheb Kore Institute of Engineering and Technology, Warananagar (Un-Aided Autonomous)",Computer Science and Engineering,86.80%,79.54%,86.29%,87.83%,,85.20%,84.97%,,85.31%,,,,,,,,,84.00%,,,,83.60%,70.00%,,,,,,,,,
"6268 Tatyasaheb Kore Institute of Engineering and Technology, Warananagar (Un-Aided Autonomous)",Electronics and Telecommunication Engg,82.82%,73.94%,80.29%,84.41%,,,65.24%,,78.35%,,71.54%,,,,,,76.82%,79.14%,,,,,,,,,,,,,,
"6268 Tatyasaheb Kore Institute of Engineering and Technology, Warananagar (Un-Aided Autonomous)",Chemical Engineering,88.33%,,,85.50%,,79.00%,88.56%,,88.11%,83.00%,73.28%,,,,,,,,,,,,,,,,,,,,,
"6268 Tatyasaheb Kore Institute of Engineering and Technology, Warananagar (Un-Aided Autonomous)",Mechanical Engineering,75.44%,56.62%,72.97%,69.49%,,,,,64.51%,60.87%,,,73.28%,,,,,,,,72.05%,,,,,,,,,,,
"6269 Shetkari Shikshan Mandals Pad. Vasantraodada Patil Institute of Technology, Budhgaon, Sangli (Un-Aided)",Civil Engineering,66.79%,,61.18%,59.33%,,,68.58%,,53.47%,,,65.68%,,63.12%,,,,,,,,,,,,,,,,,,
"6269 Shetkari Shikshan Mandals Pad. Vasantraodada Patil Institute of Technology, Budhgaon, Sangli (Un-Aided)",Computer Science and Engineering,86.74%,76.00%,85.14%,85.77%,,79.54%,78.44%,,78.74%,,81.06%,,,,,,73.49%,79.20%,,,,,,,,,,,,,,
"6269 Shetkari Shikshan Mandals Pad. Vasantraodada Patil Institute of Technology, Budhgaon, Sangli (Un-Aided)",Electronics and Telecommunication Engg,79.71%,73.53%,,84.00%,,77.41%,69.09%,,76.00%,81.89%,,,72.18%,,,,,74.41%,,,,,,,,,,,,,,
"6269 Shetkari Shikshan Mandals Pad. Vasantraodada Patil Institute of Technology, Budhgaon, Sangli (Un-Aided)",Instrumentation and Control Engineering,75.56%,68.61%,,76.12%,,70.44%,,,66.14%,,,,,,,,,,,,,,,,,,,,,,,
"6269 Shetkari Shikshan Mandals Pad. Vasantraodada Patil Institute of Technology, Budhgaon, Sangli (Un-Aided)",Chemical Engineering,69.78%,55.94%,,71.83%,,,74.00%,,,,,,,59.33%,,,,,,,,,,,,,,,,,,
"6269 Shetkari Shikshan Mandals Pad. Vasantraodada Patil Institute of Technology, Budhgaon, Sangli (Un-Aided)",Mechanical Engineering,71.03%,51.76%,,68.62%,,,,,,,,55.58%,58.41%,,,,,,,,,,,,,,,,,,,
"6269 Shetkari Shikshan Mandals Pad. Vasantraodada Patil Institute of Technology, Budhgaon, Sangli (Un-Aided)",Mechatronics Engineering,62.06%,,,60.82%,,,60.00%,,,,,,,,,,,,,,,,,,,,,,,,,
"6269 Shetkari Shikshan Mandals Pad. Vasantraodada Patil Institute of Technology, Budhgaon, Sangli (Un-Aided)",Electronics and Computer Science,73.28%,69.60%,71.88%,78.65%,,73.00%,71.31%,,,,,,,72.94%,,,,,,,,,,,,,,,,,,
"6269 Shetkari Shikshan Mandals Pad. Vasantraodada Patil Institute of Technology, Budhgaon, Sangli (Un-Aided)",Computer Science and Engineering (Artificial Intelligence and Data Science),83.94%,73.38%,83.14%,84.88%,,,,,77.09%,,,,,,,,,64.50%,,,,,,,,,,,,,,
"6269 Shetkari Shikshan Mandals Pad. Vasantraodada Patil Institute of Technology, Budhgaon, Sangli (Un-Aided)",Electrical and Computer Engineering,75.44%,71.83%,67.44%,79.56%,,68.06%,74.11%,,,75.00%,,,,74.44%,,,67.43%,,,,,,,,,,,,,,,
"6270 Rayat Shikshan Sansthas Karmaveer Bhaurao Patil College of Engineering, Satara (Un-Aided)",Civil Engineering,69.05%,,,77.26%,,63.74%,66.21%,,,72.16%,64.11%,67.21%,,,,,,,,,,,54.44%,,,,,,,,,
"6270 Rayat Shikshan Sansthas Karmaveer Bhaurao Patil College of Engineering, Satara (Un-Aided)",Computer Science and Engineering,85.31%,80.00%,84.91%,89.14%,,84.17%,85.66%,,82.69%,,,79.54%,,,,,,77.94%,,,,,,,,,,,,,,
"6270 Rayat Shikshan Sansthas Karmaveer Bhaurao Patil College of Engineering, Satara (Un-Aided)",Electronics and Telecommunication Engg,84.24%,69.75%,,87.71%,,,75.29%,,73.89%,81.65%,,,,,,,,,,,,,,,,,,,,,,
"6270 Rayat Shikshan Sansthas Karmaveer Bhaurao Patil College of Engineering, Satara (Un-Aided)",Mechanical Engineering,56.00%,,,71.44%,,,68.41%,,,,,,,,,,,,,,,,,,,,,,,,,
"6271 Pune Institute of Computer Technology, Dhankavdi, Pune (Un-Aided)",Computer Engineering,96.20%,93.76%,96.00%,96.29%,89.63%,96.17%,95.00%,89.67%,95.71%,95.09%,92.15%,,,,91.18%,,93.16%,94.53%,,,,93.53%,,,,,,,91.14%,,,
"6271 Pune Institute of Computer Technology, Dhankavdi, Pune (Un-Aided)",Information Technology,95.58%,93.37%,95.14%,95.31%,83.60%,95.00%,93.09%,,95.50%,,92.00%,93.03%,,94.75%,90.63%,,,,,,,,94.57%,,,89.35%,,,,,,
"6271 Pune Institute of Computer Technology, Dhankavdi, Pune (Un-Aided)",Artificial Intelligence (AI) and Data Science,94.60%,92.57%,,94.70%,,,92.57%,87.43%,94.46%,93.33%,,,,,,,,,,,,,,,,,,,,,,
"6271 Pune Institute of Computer Technology, Dhankavdi, Pune (Un-Aided)",Electronics and Telecommunication Engg,92.75%,90.00%,92.41%,92.82%,,91.88%,89.65%,66.11%,92.58%,92.59%,91.12%,89.05%,91.94%,91.28%,88.20%,79.00%,,,87.26%,,,,91.78%,,,,,,,,,
"6271 Pune Institute of Computer Technology, Dhankavdi, Pune (Un-Aided)",Electronics and Computer Engineering,94.07%,90.17%,,94.40%,,92.63%,89.03%,,,93.41%,,,,,,,,,,,,,,,,,,,,,,
"6272 Dr. D. Y. Patil Pratishthans D.Y.Patil College of Engineering Akurdi, Pune (Un-Aided)",Civil Engineering,89.32%,84.68%,88.71%,89.40%,,87.05%,82.00%,81.21%,87.26%,,78.67%,,83.74%,,75.00%,,80.05%,88.11%,,77.00%,80.00%,,88.68%,,,,,,76.26%,,,
"6272 Dr. D. Y. Patil Pratishthans D.Y.Patil College of Engineering Akurdi, Pune (Un-Aided)",Robotics and Automation,89.29%,81.49%,,90.00%,,,82.97%,,86.97%,84.06%,,81.88%,,,,,,,,,,,,,,,,,,,,
"6272 Dr. D. Y. Patil Pratishthans D.Y.Patil College of Engineering Akurdi, Pune (Un-Aided)",Computer Engineering,93.09%,89.54%,92.69%,92.88%,84.88%,92.81%,87.26%,65.43%,92.97%,,89.59%,,89.87%,90.97%,88.94%,,87.60%,,,,,,,,,75.85%,,,,,,
"6272 Dr. D. Y. Patil Pratishthans D.Y.Patil College of Engineering Akurdi, Pune (Un-Aided)",Information Technology,92.50%,89.14%,92.11%,92.23%,,92.06%,86.86%,70.00%,92.00%,,89.20%,90.47%,,89.60%,82.34%,,,,,,,,91.83%,,,73.06%,,,,,,
